china_pred,nigeria_pred,sa_pred,yemen_pred,china_r2,nigeria_r2,sa_r2,yemen_r2,china_rmse,nigeria_rmse,sa_rmse,yemen_rmse
0.8198967,-0.20578879,0.02276785,0.24293625,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.68059194,-0.09877736,-0.012463159,0.11531241,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.5917876,-0.12827604,-0.25526267,0.0915016,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.6491779,0.017144434,-0.23910078,0.19766948,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.42278898,0.17394996,-0.33748847,0.18941651,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.3748496,0.2228458,-0.44635975,0.18000367,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.38917267,0.34946597,-0.31110236,0.28112328,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.39470008,0.38425967,-0.3870004,0.24117418,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.37730598,0.4193323,-0.53601015,0.23696364,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.3783344,0.4181628,-0.46597642,0.31588256,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.21585733,0.24786994,-0.48933753,0.26022267,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.112975225,0.14127448,-0.4508541,0.2343382,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.019039333,-0.013817139,-0.41733915,0.32890666,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.05728613,-0.46141636,-0.40344465,0.2594264,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.19360194,-0.8014234,-0.4346261,0.22950101,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.2789923,-0.85963166,-0.37613195,0.28788677,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.16035607,-0.844798,-0.33600357,0.2276688,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.16522324,-0.9304782,-0.343658,0.19509578,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.22867942,-0.9396957,-0.27558643,0.26295975,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.42963493,-0.90988207,-0.24392644,0.23221767,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.47332042,-0.93905896,-0.20088826,0.24090548,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.37545168,-0.93028545,-0.18871602,0.29847682,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.5022323,-0.9285587,-0.2392489,0.23368749,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.10130797,-0.93406075,-0.27648094,0.1841791,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.0049429983,-0.94053286,-0.19434518,0.2378296,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.09976251,-0.94637203,-0.19337685,0.16079286,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.15763275,-0.9352772,-0.10043323,0.14157012,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.11206224,-0.92076105,-0.014835832,0.24002549,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
